TIME/GEO;DE;GR
1992;7,84;24,13
1993;6,51;23,27
1994;6,87;20,70
1995;6,85;16,96
1996;6,22;14,43
1997;5,64;9,92
1998;4,57;8,48
1999;4,49;6,30
2000;5,26;6,10
2001;4,80;5,30
2002;4,78;5,12
2003;4,07;4,27
2004;4,04;4,26
2005;3,35;3,59
2006;3,76;4,07
2007;4,22;4,50
2008;3,98;4,80
2009;3,22;5,17
2010;2,74;9,09
