TIME/GEO;DE;GR
1998;9,1;10,8
1999;8,2;12,0
2000;7,5;11,2
2001;7,6;10,7
2002;8,4;10,3
2003;9,3;9,7
2004;9,8;10,5
2005;11,2;9,9
2006;10,3;8,9
2007;8,7;8,3
2008;7,5;7,7
2009;7,8;9,5
2010;7,1;12,6
