TIME/GEO;DE;GR
2000;1,3;-3,7
2001;-2,8;-4,5
2002;-3,7;-4,8
2003;-4,0;-5,6
2004;-3,8;-7,5
2005;-3,3;-5,2
2006;-1,6;-5,7
2007;0,3;-6,4
2008;0,1;-9,8
2009;-3,0;-15,4
2010;-3,3;-10,5
